step,benchmark,correct,n,mean_verbal,median_verbal,p25_verbal,p75_verbal,mean_logits,parse_rate
0,aime24,0,95,0.5365263157894736,0.95,0.0,1.0,0.791268618020442,0.5578947368421052
0,aime24,1,25,0.9440000000000001,1.0,0.95,1.0,0.8628116754966548,0.96
0,amc24,0,49,0.7051020408163264,0.95,0.0,0.99,0.840664056502026,0.7346938775510204
0,amc24,1,41,0.9885365853658536,1.0,1.0,1.0,0.8768264206336109,1.0
0,math500,0,41,0.7524390243902439,1.0,0.95,1.0,0.8507623439920208,0.7560975609756098
0,math500,1,159,0.9940880503144655,1.0,1.0,1.0,0.8908553331124287,1.0
10,aime24,0,93,0.45161290322580644,0.0,0.0,0.98,0.791306221205601,0.46236559139784944
10,aime24,1,27,0.9766666666666667,0.99,0.95,1.0,0.8486223330124266,1.0
10,amc24,0,48,0.7060416666666667,0.95,0.0,1.0,0.8378574103655477,0.7291666666666666
10,amc24,1,42,0.9911904761904763,1.0,1.0,1.0,0.8695676433350208,1.0
10,math500,0,38,0.8052631578947369,1.0,0.95,1.0,0.8473284847781244,0.8157894736842105
10,math500,1,162,0.9955555555555555,1.0,1.0,1.0,0.8908277127521447,1.0
20,aime24,0,96,0.4848958333333333,0.475,0.0,0.95,0.7901583072511383,0.5
20,aime24,1,24,0.9741666666666666,0.965,0.95,1.0,0.847134270290491,1.0
20,amc24,0,49,0.7279591836734695,0.95,0.6,1.0,0.8359867981578233,0.7551020408163265
20,amc24,1,41,0.9919512195121951,1.0,1.0,1.0,0.8686024653076381,1.0
20,math500,0,41,0.7970731707317074,1.0,0.95,1.0,0.8582899412090507,0.8048780487804879
20,math500,1,159,0.9889937106918238,1.0,1.0,1.0,0.8933360722976853,0.9937106918238994
30,aime24,0,90,0.5743333333333334,0.95,0.0,1.0,0.7865089556655489,0.5888888888888889
30,aime24,1,30,0.9716666666666666,0.95,0.95,1.0,0.8379478563455052,1.0
30,amc24,0,51,0.6654901960784313,0.95,0.0,1.0,0.8322438441441092,0.6862745098039216
30,amc24,1,39,0.991025641025641,1.0,1.0,1.0,0.8783713934979954,1.0
30,math500,0,40,0.78825,1.0,0.95,1.0,0.8463504172959887,0.8
30,math500,1,160,0.9963124999999999,1.0,1.0,1.0,0.8916418037999339,1.0
40,aime24,0,90,0.5616666666666666,0.95,0.0,0.9875,0.7832041142827919,0.5777777777777777
40,aime24,1,30,0.9766666666666667,1.0,0.95,1.0,0.8456360394581738,1.0
40,amc24,0,46,0.6978260869565218,0.95,0.0,1.0,0.8478073723725785,0.717391304347826
40,amc24,1,44,0.990909090909091,1.0,1.0,1.0,0.872191886254749,1.0
40,math500,0,40,0.7675,1.0,0.95,1.0,0.8555510349095485,0.775
40,math500,1,160,0.9956250000000001,1.0,1.0,1.0,0.8928547317767415,1.0
50,aime24,0,91,0.46769230769230774,0.0,0.0,0.95,0.7924964633635563,0.4835164835164835
50,aime24,1,29,0.9758620689655173,1.0,0.95,1.0,0.8372108826029288,1.0
50,amc24,0,49,0.6681632653061225,0.95,0.0,1.0,0.831603234405165,0.6938775510204082
50,amc24,1,41,0.9919512195121951,1.0,1.0,1.0,0.8682451048652944,1.0
50,math500,0,37,0.8548648648648648,1.0,0.95,1.0,0.855337850594355,0.8648648648648649
50,math500,1,163,0.996319018404908,1.0,1.0,1.0,0.892929926504248,1.0
60,aime24,0,89,0.5126966292134831,0.95,0.0,0.95,0.7897614354502702,0.5280898876404494
60,aime24,1,31,0.98,1.0,0.95,1.0,0.8499117247205703,1.0
60,amc24,0,47,0.7206382978723403,0.95,0.425,1.0,0.8379156773289635,0.7446808510638298
60,amc24,1,43,0.9860465116279069,1.0,0.95,1.0,0.8652866698501296,1.0
60,math500,0,39,0.8123076923076923,1.0,0.95,1.0,0.8499058262688416,0.8205128205128205
60,math500,1,161,0.9934782608695651,1.0,1.0,1.0,0.8927051573770741,1.0
70,aime24,0,103,0.5263106796116505,0.95,0.0,0.98,0.7906880713951057,0.5436893203883495
70,aime24,1,17,0.9705882352941176,0.95,0.95,1.0,0.8599954583080306,1.0
70,amc24,0,54,0.7068518518518518,0.95,0.075,1.0,0.8417523941016269,0.7407407407407407
70,amc24,1,36,0.9874999999999999,1.0,1.0,1.0,0.885207532598591,1.0
70,math500,0,37,0.8513513513513513,1.0,0.95,1.0,0.8564426290190941,0.8648648648648649
70,math500,1,163,0.9947852760736197,1.0,1.0,1.0,0.8917942201116807,1.0
