step,benchmark,correct,n,mean_words,median_words,p25_words,p75_words,mean_chars
0,aime24,0,95,1086.7263157894736,1096.0,881.0,1299.5,5198.178947368421
0,aime24,1,25,607.6,641.0,461.0,737.0,3061.16
0,amc24,0,49,804.2244897959183,755.0,506.0,1087.0,3975.9795918367345
0,amc24,1,41,495.4146341463415,483.0,245.0,595.0,2393.5365853658536
0,math500,0,41,545.3170731707318,377.0,242.0,645.0,2701.243902439024
0,math500,1,159,264.8616352201258,207.0,136.5,304.5,1276.553459119497
10,aime24,0,93,1088.3118279569892,1134.0,866.0,1321.0,5211.924731182796
10,aime24,1,27,681.6666666666666,678.0,531.5,864.5,3430.296296296296
10,amc24,0,48,778.2916666666666,767.0,430.0,1082.25,3789.5833333333335
10,amc24,1,42,514.6190476190476,461.0,273.25,666.0,2499.0714285714284
10,math500,0,38,543.8947368421053,461.0,290.75,739.0,2702.657894736842
10,math500,1,162,255.11111111111111,215.5,135.0,305.0,1222.9506172839506
20,aime24,0,96,1129.1354166666667,1161.5,1005.0,1325.25,5440.375
20,aime24,1,24,652.7916666666666,638.0,479.0,829.0,3234.2916666666665
20,amc24,0,49,770.9591836734694,771.0,449.0,991.0,3825.816326530612
20,amc24,1,41,500.8292682926829,497.0,249.0,660.0,2415.2926829268295
20,math500,0,41,570.6341463414634,487.0,280.0,779.0,2811.5365853658536
20,math500,1,159,248.83647798742138,202.0,133.0,304.5,1201.0691823899372
30,aime24,0,90,1035.6222222222223,1101.5,771.25,1283.75,4967.1
30,aime24,1,30,652.2,593.0,470.75,835.5,3215.9666666666667
30,amc24,0,51,829.3333333333334,906.0,529.5,1104.0,4186.470588235294
30,amc24,1,39,493.28205128205127,532.0,257.5,651.5,2366.769230769231
30,math500,0,40,596.525,484.5,282.25,834.0,2924.325
30,math500,1,160,259.6375,207.5,135.0,304.25,1242.55
40,aime24,0,90,1074.4333333333334,1103.0,868.75,1275.25,5102.555555555556
40,aime24,1,30,603.1666666666666,579.5,474.5,718.0,3067.1666666666665
40,amc24,0,46,825.2608695652174,897.0,496.5,1098.5,3968.021739130435
40,amc24,1,44,498.0681818181818,481.5,268.25,696.25,2395.409090909091
40,math500,0,40,568.7,445.5,322.25,736.75,2791.075
40,math500,1,160,246.65,211.5,134.0,306.25,1203.325
50,aime24,0,91,1076.967032967033,1123.0,844.5,1271.0,5235.43956043956
50,aime24,1,29,659.8620689655172,697.0,538.0,809.0,3256.9310344827586
50,amc24,0,49,790.4489795918367,740.0,445.0,1137.0,3900.6530612244896
50,amc24,1,41,489.4634146341463,518.0,252.0,621.0,2402.3658536585367
50,math500,0,37,519.6216216216217,356.0,261.0,793.0,2539.3783783783783
50,math500,1,163,265.44785276073617,212.0,133.0,312.5,1286.1288343558283
60,aime24,0,89,1083.247191011236,1087.0,928.0,1311.0,5224.011235955056
60,aime24,1,31,665.9354838709677,653.0,488.0,864.5,3317.3225806451615
60,amc24,0,47,779.9148936170212,809.0,444.0,1094.0,3909.2978723404253
60,amc24,1,43,536.0697674418604,485.0,264.0,748.0,2590.6744186046512
60,math500,0,39,561.7179487179487,490.0,239.5,900.0,2738.871794871795
60,math500,1,161,270.3354037267081,217.0,129.0,315.0,1320.7267080745341
70,aime24,0,103,1063.3203883495146,1105.0,870.5,1257.0,5083.1067961165045
70,aime24,1,17,533.4705882352941,550.0,464.0,670.0,2702.9411764705883
70,amc24,0,54,758.574074074074,706.5,442.25,1063.0,3758.462962962963
70,amc24,1,36,448.80555555555554,383.0,242.25,596.25,2200.0833333333335
70,math500,0,37,565.7027027027027,515.0,337.0,721.0,2745.864864864865
70,math500,1,163,262.9141104294479,212.0,131.0,303.5,1271.006134969325
