benchmark,step,n_problems,retained,regressed,gained,still_wrong,retention_rate,gain_rate,net_delta,acc_base,acc_now
aime24,10,30,6,1,1,22,0.8571428571428571,0.043478260869565216,0,0.23333333333333334,0.23333333333333334
aime24,20,30,6,1,0,23,0.8571428571428571,0.0,-1,0.23333333333333334,0.2
aime24,30,30,6,1,3,20,0.8571428571428571,0.13043478260869565,2,0.23333333333333334,0.3
aime24,40,30,7,0,2,21,1.0,0.08695652173913043,2,0.23333333333333334,0.3
aime24,50,30,6,1,2,21,0.8571428571428571,0.08695652173913043,1,0.23333333333333334,0.26666666666666666
aime24,60,30,7,0,2,21,1.0,0.08695652173913043,2,0.23333333333333334,0.3
aime24,70,30,4,3,0,23,0.5714285714285714,0.0,-3,0.23333333333333334,0.13333333333333333
amc24,10,45,24,3,3,15,0.8888888888888888,0.16666666666666666,0,0.6,0.6
amc24,20,45,24,3,1,17,0.8888888888888888,0.05555555555555555,-2,0.6,0.5555555555555556
amc24,30,45,23,4,1,17,0.8518518518518519,0.05555555555555555,-3,0.6,0.5333333333333333
amc24,40,45,25,2,2,16,0.9259259259259259,0.1111111111111111,0,0.6,0.6
amc24,50,45,23,4,3,15,0.8518518518518519,0.16666666666666666,-1,0.6,0.5777777777777777
amc24,60,45,25,2,1,17,0.9259259259259259,0.05555555555555555,-1,0.6,0.5777777777777777
amc24,70,45,19,8,3,15,0.7037037037037037,0.16666666666666666,-5,0.6,0.4888888888888889
math500,10,100,83,3,2,12,0.9651162790697675,0.14285714285714285,-1,0.86,0.85
math500,20,100,83,3,1,13,0.9651162790697675,0.07142857142857142,-2,0.86,0.84
math500,30,100,82,4,2,12,0.9534883720930233,0.14285714285714285,-2,0.86,0.84
math500,40,100,83,3,3,11,0.9651162790697675,0.21428571428571427,0,0.86,0.86
math500,50,100,83,3,2,12,0.9651162790697675,0.14285714285714285,-1,0.86,0.85
math500,60,100,83,3,1,13,0.9651162790697675,0.07142857142857142,-2,0.86,0.84
math500,70,100,83,3,3,11,0.9651162790697675,0.21428571428571427,0,0.86,0.86
